I,S
2.08E+03,1.95E+05
1.75E+03,1.95E+05
1.49E+03,1.94E+05
1.28E+03,1.94E+05
1.12E+03,1.94E+05
1.01E+03,1.94E+05
9.34E+02,1.94E+05
8.89E+02,1.95E+05
8.69E+02,1.95E+05
8.71E+02,1.95E+05
8.92E+02,1.95E+05
9.28E+02,1.96E+05
9.77E+02,1.96E+05
1.03E+03,1.96E+05
1.09E+03,1.96E+05
1.14E+03,1.96E+05
1.17E+03,1.96E+05
1.18E+03,1.96E+05
1.16E+03,1.95E+05
1.11E+03,1.95E+05
1.03E+03,1.96E+05
9.31E+02,1.96E+05
8.29E+02,1.96E+05
7.30E+02,1.96E+05
6.41E+02,1.97E+05
5.66E+02,1.97E+05
5.06E+02,1.98E+05
4.61E+02,1.99E+05
4.29E+02,1.99E+05
4.09E+02,2.00E+05
3.99E+02,2.01E+05
3.98E+02,2.01E+05
4.07E+02,2.02E+05
4.28E+02,2.03E+05
4.63E+02,2.03E+05
5.18E+02,2.04E+05
5.98E+02,2.04E+05
7.13E+02,2.05E+05
8.74E+02,2.05E+05
1.10E+03,2.05E+05
